GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900636915.1	8122338	GCF_900636915.1	8152498	
GCA_000739435.1	1187558	GCF_000739435.1	1489928	
GCA_016889385.1	25005848	GCF_016889385.1	25023508	
GCA_014541205.1	22072698	GCF_014541205.1	22128158	
GCA_900476035.1	6716728	GCF_900476035.1	6724598	
GCA_011455875.1	17796548	GCF_011455875.1	17945768	
GCA_011455495.1	17796168	GCF_011455495.1	17945588	
GCA_000007745.1	8548	GCF_000007745.1	29328	
GCA_900186835.1	4960348	GCF_900186835.1	4963878	
GCA_900186995.1	4959788	GCF_900186995.1	4965358	
GCA_900475885.1	6716388	GCF_900475885.1	6725478	
GCA_015356115.1	23064248	GCF_015356115.1	23093558	
GCA_029774155.1	42176308	GCF_029774155.1	42241638	
GCA_013377295.1	20176758	GCF_013377295.1	20177828	
GCA_900635775.1	8120028	GCF_900635775.1	8152358	
GCA_013377195.1	20176658	GCF_013377195.1	20177708	
GCA_009684715.1	15470578	GCF_009684715.1	15492848	
GCA_002073255.2	6154098	GCF_002073255.2	6179178	
GCA_000931575.1	1636528	GCF_000931575.1	1659138	
GCA_900638445.1	8124958	GCF_900638445.1	8152718	
GCA_017352235.1	25546428	GCF_017352235.1	25555108	
GCA_023518055.1	33476938	GCF_023518055.1	33528538	
GCA_011765605.1	18128628	GCF_011765605.1	18196198	
GCA_001647695.1	3246998	GCF_001647695.1	3251818	
GCA_000019405.1	20208	GCF_000019405.1	40448	
GCA_900477945.1	6715488	GCF_900477945.1	6724198	
GCA_000521725.1	895198	GCF_000521725.1	1524168	
GCA_000521695.1	895178	GCF_000521695.1	1497298	
GCA_011455695.1	17796388	GCF_011455695.1	17945408	
GCA_010587025.1	16732688	GCF_010587025.1	17320938	
GCA_020810675.1	30055578	GCF_020810675.1	30085048	
GCA_003265225.1	6727308	GCF_003265225.1	37424958	
GCA_000801145.1	1420648	GCF_000801145.1	1488868	
GCA_018343795.1	26688718	GCF_018343795.1	26864088	
GCA_003101015.1	6464158	GCF_003101015.1	6486938	
GCA_004519515.1	8950308	GCF_004519515.1	17275308	
GCA_030517105.1	45375888	GCF_030517105.1	45518518	
GCA_013378015.1	20180568	GCF_013378015.1	20240968	
GCA_900638385.1	8124838	GCF_900638385.1	8159398	
GCA_013377275.1	20176738	GCF_013377275.1	20177668	
GCA_000772265.1	1369758	GCF_000772265.1	1469038	
GCA_000191405.1	248658	GCF_000191405.1	251758	
GCA_000730685.1	1175118	GCF_000730685.1	1703148	
GCA_004339625.1	8723648	GCF_004339625.1	8749958	
GCA_900450725.1	6997988	GCF_900450725.1	7019118	
GCA_004362535.1	8770218	GCF_004362535.1	8782218	
GCA_900454705.1	6998568	GCF_900454705.1	7023798	
GCA_000262245.1	379138	GCF_000262245.1	382198	
GCA_000374285.1	605628	GCF_000374285.1	636678	
GCA_000175195.1	218458	GCF_000175195.1	218478	
GCA_029783845.1	42186338	GCF_029783845.1	42248608	
GCA_900460625.1	7044318	GCF_900460625.1	7051848	
GCA_900444945.1	7044458	GCF_900444945.1	7050828	
GCA_900454535.1	6996668	GCF_900454535.1	7018938	
GCA_900454895.1	6999308	GCF_900454895.1	7024418	
GCA_003130255.1	6500068	GCF_003130255.1	6535628	
GCA_000940515.1	1655558	GCF_000940515.1	1660618	
GCA_004363295.1	8770978	GCF_004363295.1	8784528	
GCA_009761395.1	15639178	GCF_009761395.1	15650868	
GCA_000827595.2	5808638	GCF_000827595.2	5813868	
GCA_004339025.1	8723168	GCF_004339025.1	8753538	
GCA_004342725.1	8726688	GCF_004342725.1	8756468	
GCA_014884995.1	22519768	GCF_014884995.1	25793038	
GCA_000772535.1	1369938	GCF_000772535.1	1431498	
GCA_901764995.1	11185798	GCF_901764995.1	11388828	
GCA_002000485.1	4131408	GCF_002000485.1	4139678	
GCA_003260095.1	6713808	GCF_003260095.1	6726478	
GCA_002795405.1	5681018	GCF_002795405.1	5686058	
GCA_024622045.1	35149538	GCF_024622045.1	35253208	
GCA_014885015.1	22519808	GCF_014885015.1	25793018	
GCA_004345745.1	8736848	GCF_004345745.1	8751718	
GCA_002000125.1	4130958	GCF_002000125.1	4139478	
GCA_002015115.1	4171258	GCF_002015115.1	4178628	
GCA_002795425.1	5681038	GCF_002795425.1	5685198	
GCA_003096995.1	6457538	GCF_003096995.1	7199908	
GCA_001999305.1	4128598	GCF_001999305.1	4139378	
GCA_004340985.1	8724968	GCF_004340985.1	8747478	
GCA_014884965.1	22519728	GCF_014884965.1	25793058	
GCA_001998825.1	4127818	GCF_001998825.1	4141218	
GCA_001998965.1	4127998	GCF_001998965.1	4139158	
GCA_002921145.1	5999738	GCF_002921145.1	6011078	
GCA_002591855.1	5421248	GCF_002591855.1	5481448	
GCA_008605885.1	13967178	GCF_008605885.1	14065848	
GCA_000287615.1	411808	GCF_000287615.1	419908	
GCA_900451065.1	6996208	GCF_900451065.1	7020178	
GCA_900445015.1	7040458	GCF_900445015.1	7051708	
GCA_028649575.1	40817398	GCF_028649575.1	40880408	
GCA_002850605.1	5829458	GCF_002850605.1	5858458	
GCA_901687125.1	14129588	GCF_901687125.1	14168168	
GCA_004569585.1	9036148	GCF_004569585.1	9092638	
GCA_002000425.1	4131348	GCF_002000425.1	4140838	
GCA_009761375.1	15639198	GCF_009761375.1	15650808	
GCA_000754275.1	1202348	GCF_000754275.1	1497178	
GCA_900187275.1	4960628	GCF_900187275.1	4965418	
GCA_900636625.1	8121768	GCF_900636625.1	8152138	
GCA_020736045.1	29943738	GCF_020736045.1	29959538	
GCA_001457655.1	2704358	GCF_001457655.1	2716328	
GCA_003290385.1	6783368	GCF_003290385.1	6862748	
GCA_000178495.2	6441638	GCF_000178495.2	6450858	
GCA_016127215.1	24000748	GCF_016127215.1	24054508	
GCA_013377235.1	20176698	GCF_013377235.1	20177628	
GCA_900187155.1	4959988	GCF_900187155.1	4965398	
GCA_029773685.1	42175808	GCF_029773685.1	42241778	
GCA_016127115.1	24000648	GCF_016127115.1	24054608	
GCA_900636745.1	8122008	GCF_900636745.1	8464518	
GCA_029773665.1	42175788	GCF_029773665.1	42241458	
GCA_019930905.1	28798678	GCF_019930905.1	29033738	
GCA_013377995.1	20180548	GCF_013377995.1	20241028	
GCA_009828705.1	15729808	GCF_009828705.1	15855958	
GCA_019916005.1	28771918	GCF_019916005.1	28797578	
GCA_022179625.1	31749788	GCF_022179625.1	31795978	
GCA_030846735.1	46481478	GCF_030846735.1	46554038	
GCA_029873295.1	42306618	GCF_029873295.1	42383858	
GCA_003402895.1	7102998	GCF_003402895.1	7132578	
GCA_002859465.1	5838328	GCF_002859465.1	5859038	
GCA_026315165.1	37584048	GCF_026315165.1	37686948	
GCA_026315145.1	37584028	GCF_026315145.1	37687008	
GCA_026409245.1	37689328	GCF_026409245.1	37728618	
GCA_026409225.1	37689308	GCF_026409225.1	37728438	
GCA_026409265.1	37689348	GCF_026409265.1	37727848	
GCA_026409305.1	37689388	GCF_026409305.1	37728268	
GCA_026315085.1	37583988	GCF_026315085.1	37687268	
GCA_029224005.1	41490168	GCF_029224005.1	41511238	
GCA_026409365.1	37689828	GCF_026409365.1	37728468	
GCA_002859425.1	5838288	GCF_002859425.1	5858218	
GCA_026409285.1	37689368	GCF_026409285.1	37728878	
GCA_026315065.1	37583968	GCF_026315065.1	37687148	
GCA_026315125.1	37584008	GCF_026315125.1	37687108	
GCA_026315225.1	37584208	GCF_026315225.1	37687068	
GCA_026409345.1	37689528	GCF_026409345.1	37728698	
GCA_026636255.1	38012118	GCF_026636255.1	38186658	
GCA_031188105.1	47002918	GCF_031188105.1	47164338	
GCA_021441925.1	30921018	GCF_021441925.1	30955898	
GCA_003402935.1	7103038	GCF_003402935.1	7133798	
GCA_003402875.1	7102978	GCF_003402875.1	7134578	
GCA_006274235.1	11145118	GCF_006274235.1	11385168	
GCA_006351865.1	11231798	GCF_006351865.1	11477348	
GCA_003402915.1	7103018	GCF_003402915.1	7128788	
GCA_023573085.1	33604708	GCF_023573085.1	33652318	
GCA_026409325.1	37689408	GCF_026409325.1	37728398	
GCA_022637295.1	32358448	GCF_022637295.1	32391848	
GCA_023573025.1	33604648	GCF_023573025.1	33651798	
GCA_019754275.1	28564688	GCF_019754275.1	28584348	
GCA_001721885.1	3438848	GCF_001721885.1	3439648	
GCA_011149495.1	17463068	GCF_011149495.1	17620398	
GCA_030122645.1	42932858	GCF_030122645.1	42939538	
GCA_030059805.1	42806688	GCF_030059805.1	42815998	
GCA_016313205.1	24193488	GCF_016313205.1	24285548	
GCA_023587705.1	33647858	GCF_023587705.1	33691218	
GCA_023587685.1	33647778	GCF_023587685.1	33694198	
GCA_019754255.1	28564668	GCF_019754255.1	28583748	
GCA_024055505.2	41492088	GCF_024055505.2	41539378	
GCA_019134675.1	27713408	GCF_019134675.1	27788908	
GCA_002891845.2	15601468	GCF_002891845.2	15619108	
GCA_001874445.1	3719618	GCF_001874445.1	3722508	
GCA_002891825.2	15601608	GCF_002891825.2	15618448	
GCA_031463095.1	47409708	GCF_031463095.1	47561318	
GCA_023572905.1	33604528	GCF_023572905.1	33660088	
GCA_031583005.1	47557298	N/A	N/A	
GCA_002393385.1	5130568	GCF_002393385.1	5147118	
GCA_002591295.1	5410988	GCF_002591295.1	5477148	
GCA_004792555.1	9298368	GCF_004792555.1	9333418	
GCA_002859325.1	5838188	GCF_002859325.1	5858198	
GCA_029762475.1	42162708	GCF_029762475.1	45027778	
GCA_009646155.1	15233438	GCF_009646155.1	15296788	
GCA_002859265.1	5838128	GCF_002859265.1	5858918	
GCA_002859525.1	5838388	GCF_002859525.1	5858298	
GCA_002859545.1	5838408	GCF_002859545.1	5858318	
GCA_002859245.1	5838108	GCF_002859245.1	5858858	
GCA_023573065.1	33604688	GCF_023573065.1	33652908	
GCA_002859485.1	5838348	GCF_002859485.1	5858558	
GCA_002859385.1	5838248	GCF_002859385.1	5858538	
GCA_023573005.1	33604628	GCF_023573005.1	33652638	
GCA_014495805.1	22010928	GCF_014495805.1	22046768	
GCA_002859345.1	5838208	GCF_002859345.1	5858958	
GCA_002859405.1	5838268	GCF_002859405.1	5857958	
GCA_002859365.1	5838228	GCF_002859365.1	5858998	
GCA_002859505.1	5838368	GCF_002859505.1	5857978	
GCA_031432935.1	47335838	GCF_031432935.1	47543298	
GCA_017815735.1	26088978	GCF_017815735.1	26180048	
GCA_020971725.1	30279398	GCF_020971725.1	30309538	
GCA_900638665.1	8125468	GCF_900638665.1	8153498	
GCA_002859285.1	5838148	GCF_002859285.1	5858498	
GCA_002859305.1	5838168	GCF_002859305.1	5857918	
GCA_026153375.1	37359448	GCF_026153375.1	37387868	
GCA_026153335.1	37359408	GCF_026153335.1	37388008	
GCA_004792635.1	9298488	GCF_004792635.1	9332638	
GCA_023587605.1	33647528	GCF_023587605.1	33693998	
GCA_004792575.1	9298408	GCF_004792575.1	9333098	
GCA_023587725.1	33647878	GCF_023587725.1	33691098	
GCA_023587625.1	33647578	GCF_023587625.1	33694058	
GCA_900478175.1	6710848	GCF_900478175.1	6726578	
GCA_023572925.1	33604548	GCF_023572925.1	33652138	
GCA_004792595.1	9298428	GCF_004792595.1	9333118	
GCA_023572945.1	33604568	GCF_023572945.1	33652928	
GCA_003061385.1	6391388	GCF_003061385.1	6419918	
GCA_023587645.1	33647628	GCF_023587645.1	33694138	
GCA_023573125.1	33604748	GCF_023573125.1	33651718	
GCA_002073295.2	6152028	GCF_002073295.2	6184678	
GCA_023587585.1	33647508	GCF_023587585.1	33690818	
GCA_018139065.1	26461608	GCF_018139065.1	26681858	
GCA_023572985.1	33604608	GCF_023572985.1	33652078	
GCA_023572885.1	33604508	GCF_023572885.1	33652178	
GCA_009739555.1	15599288	GCF_009739555.1	15618188	
GCA_023572865.1	33604488	GCF_023572865.1	33651818	
GCA_003061265.1	6391248	GCF_003061265.1	6418878	
GCA_014058465.1	21402428	GCF_014058465.1	21533868	
GCA_014058485.1	21402488	GCF_014058485.1	21533508	
GCA_014058585.1	21402548	GCF_014058585.1	21533888	
GCA_014058605.1	21402568	GCF_014058605.1	21534288	
GCA_014058665.1	21402628	GCF_014058665.1	21534088	
GCA_014058625.1	21402588	GCF_014058625.1	21533548	
GCA_014058645.1	21402608	GCF_014058645.1	21534048	
GCA_023587665.1	33647668	GCF_023587665.1	33691378	
GCA_023587305.1	33647308	GCF_023587305.1	33690918	
GCA_023573045.1	33604668	GCF_023573045.1	33651758	
GCA_010443215.1	16588118	GCF_010443215.1	17319338	
GCA_023587465.1	33647448	GCF_023587465.1	33691538	
GCA_023587085.1	33647048	GCF_023587085.1	33693618	
GCA_023587205.1	33647168	GCF_023587205.1	33693738	
GCA_002859445.1	5838308	GCF_002859445.1	5858258	
GCA_021474145.1	30955138	GCF_021474145.1	30988438	
GCA_023573105.1	33604728	GCF_023573105.1	33652538	
GCA_023586965.1	33646908	GCF_023586965.1	33691178	
GCA_008693845.1	14067748	GCF_008693845.1	14098788	
GCA_011390865.1	17726908	GCF_011390865.1	17779208	
GCA_004792615.1	9298448	GCF_004792615.1	9333678	
GCA_009739575.1	15599308	GCF_009739575.1	15619028	
GCA_026723845.1	38125518	GCF_026723845.1	38222558	
GCA_002948995.1	6092988	GCF_002948995.1	6159008	
